feature_code,name,type,year,age,sex,number_assessed
S12000013,Na h-Eileanan Siar,Local Authority,2013/14,All,All,21
S12000013,Na h-Eileanan Siar,Local Authority,2014/15,All,All,24
S12000013,Na h-Eileanan Siar,Local Authority,2015/16,All,All,28
S12000013,Na h-Eileanan Siar,Local Authority,2016/17,All,All,34
S12000013,Na h-Eileanan Siar,Local Authority,2017/18,All,All,19
S12000013,Na h-Eileanan Siar,Local Authority,2018/19,All,All,12
S12000014,Falkirk,Local Authority,2006/07,All,All,312
S12000014,Falkirk,Local Authority,2007/08,All,All,271
S12000014,Falkirk,Local Authority,2008/09,All,All,295
S12000014,Falkirk,Local Authority,2009/10,All,All,263
S12000014,Falkirk,Local Authority,2010/11,All,All,273
S12000014,Falkirk,Local Authority,2011/12,All,All,275
S12000014,Falkirk,Local Authority,2012/13,All,All,284
S12000014,Falkirk,Local Authority,2013/14,All,All,377
S12000014,Falkirk,Local Authority,2014/15,All,All,410
S12000014,Falkirk,Local Authority,2015/16,All,All,327
S12000014,Falkirk,Local Authority,2016/17,All,All,297
S12000014,Falkirk,Local Authority,2017/18,All,All,370
S12000014,Falkirk,Local Authority,2018/19,All,All,379
S12000047,Fife,Local Authority,2006/07,All,All,1276
S12000047,Fife,Local Authority,2007/08,All,All,1878
S12000047,Fife,Local Authority,2008/09,All,All,946
S12000047,Fife,Local Authority,2009/10,All,All,921
S12000047,Fife,Local Authority,2010/11,All,All,1040
S12000047,Fife,Local Authority,2011/12,All,All,941
S12000047,Fife,Local Authority,2012/13,All,All,1035
S12000047,Fife,Local Authority,2013/14,All,All,1130
S12000047,Fife,Local Authority,2014/15,All,All,1135
S12000047,Fife,Local Authority,2015/16,All,All,1196
S12000047,Fife,Local Authority,2016/17,All,All,904
S12000047,Fife,Local Authority,2017/18,All,All,994
S12000047,Fife,Local Authority,2018/19,All,All,911
S12000049,Glasgow City,Local Authority,2006/07,All,All,2155
S12000049,Glasgow City,Local Authority,2007/08,All,All,1893
S12000049,Glasgow City,Local Authority,2008/09,All,All,1708
S12000049,Glasgow City,Local Authority,2009/10,All,All,1357
S12000049,Glasgow City,Local Authority,2010/11,All,All,1463
S12000049,Glasgow City,Local Authority,2011/12,All,All,1727
S12000049,Glasgow City,Local Authority,2012/13,All,All,2117
S12000049,Glasgow City,Local Authority,2013/14,All,All,NA
S12000049,Glasgow City,Local Authority,2014/15,All,All,1987
S12000049,Glasgow City,Local Authority,2015/16,All,All,1618
S12000049,Glasgow City,Local Authority,2016/17,All,All,1729
S12000049,Glasgow City,Local Authority,2017/18,All,All,1581
S12000049,Glasgow City,Local Authority,2018/19,All,All,1317
S12000017,Highland,Local Authority,2006/07,All,All,661
S12000017,Highland,Local Authority,2007/08,All,All,377
S12000017,Highland,Local Authority,2008/09,All,All,217
S12000017,Highland,Local Authority,2009/10,All,All,258
S12000017,Highland,Local Authority,2010/11,All,All,243
S12000017,Highland,Local Authority,2011/12,All,All,282
S12000017,Highland,Local Authority,2012/13,All,All,277
S12000017,Highland,Local Authority,2013/14,All,All,203
S12000017,Highland,Local Authority,2014/15,All,All,262
S12000017,Highland,Local Authority,2015/16,All,All,181
S12000017,Highland,Local Authority,2016/17,All,All,204
S12000017,Highland,Local Authority,2017/18,All,All,168
S12000017,Highland,Local Authority,2018/19,All,All,177
