_id,FinancialYear,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
254,2013/14,S92000003,d,30 to 34 yrs old,"",All,d,,:,,:
255,2013/14,S92000003,d,35 to 39 yrs old,"",All,d,,:,,:
256,2013/14,S92000003,d,40 to 44 yrs old,"",All,d,,:,,:
257,2013/14,S92000003,d,45+ yrs old,"",All,d,,:,,:
258,2013/14,S92000003,d,Unknown,"",All,d,,:,,:
259,2014/15,S92000003,d,Under 20yrs old,"",All,d,731,"",5.83679,""
260,2014/15,S92000003,d,20 to 24 yrs old,"",All,d,1232,"",9.83711,""
261,2014/15,S92000003,d,25 to 29 yrs old,"",All,d,1932,"",15.42638,""
262,2014/15,S92000003,d,30 to 34 yrs old,"",All,d,2599,"",20.75216,""
263,2014/15,S92000003,d,35 to 39 yrs old,"",All,d,2339,"",18.67614,""
264,2014/15,S92000003,d,40 to 44 yrs old,"",All,d,1789,"",14.28457,""
265,2014/15,S92000003,d,45+ yrs old,"",All,d,1900,"",15.17087,""
266,2014/15,S92000003,d,Unknown,"",All,d,2,"",0.01597,""
267,2015/16,S92000003,d,Under 20yrs old,"",All,d,686,"",5.65074,""
268,2015/16,S92000003,d,20 to 24 yrs old,"",All,d,1202,"",9.90115,""
269,2015/16,S92000003,d,25 to 29 yrs old,"",All,d,1791,"",14.75288,""
270,2015/16,S92000003,d,30 to 34 yrs old,"",All,d,2374,"",19.55519,""
271,2015/16,S92000003,d,35 to 39 yrs old,"",All,d,2304,"",18.97858,""
272,2015/16,S92000003,d,40 to 44 yrs old,"",All,d,1777,"",14.63756,""
273,2015/16,S92000003,d,45+ yrs old,"",All,d,2004,"",16.50741,""
274,2015/16,S92000003,d,Unknown,"",All,d,2,"",0.01647,""
275,2016/17,S92000003,d,Under 20yrs old,"",All,d,610,"",5.12777,""
276,2016/17,S92000003,d,20 to 24 yrs old,"",All,d,1075,"",9.03665,""
277,2016/17,S92000003,d,25 to 29 yrs old,"",All,d,1828,"",15.36651,""
278,2016/17,S92000003,d,30 to 34 yrs old,"",All,d,2271,"",19.09045,""
279,2016/17,S92000003,d,35 to 39 yrs old,"",All,d,2288,"",19.23336,""
280,2016/17,S92000003,d,40 to 44 yrs old,"",All,d,1761,"",14.8033,""
281,2016/17,S92000003,d,45+ yrs old,"",All,d,2061,"",17.32515,""
282,2016/17,S92000003,d,Unknown,"",All,d,2,"",0.01681,""
