_id,FinancialYear,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAssessed,NumberAssessedQF,PercentAssessed,PercentAssessedQF
190,2013/14,S12000036,"",All,d,All,d,1163,"",100,""
191,2014/15,S12000036,"",All,d,All,d,1169,"",100,""
192,2015/16,S12000036,"",All,d,All,d,1260,"",100,""
193,2016/17,S12000036,"",All,d,All,d,1470,"",100,""
194,2017/18,S12000036,"",All,d,All,d,1236,"",100,""
195,2018/19,S12000036,"",All,d,All,d,1220,"",100,""
196,2006/07,S12000013,"",All,d,All,d,28,"",100,""
197,2007/08,S12000013,"",All,d,All,d,36,"",100,""
198,2008/09,S12000013,"",All,d,All,d,29,"",100,""
199,2009/10,S12000013,"",All,d,All,d,15,"",100,""
200,2010/11,S12000013,"",All,d,All,d,33,"",100,""
201,2011/12,S12000013,"",All,d,All,d,38,"",100,""
202,2012/13,S12000013,"",All,d,All,d,28,"",100,""
203,2013/14,S12000013,"",All,d,All,d,21,"",100,""
204,2014/15,S12000013,"",All,d,All,d,24,"",100,""
205,2015/16,S12000013,"",All,d,All,d,28,"",100,""
206,2016/17,S12000013,"",All,d,All,d,34,"",100,""
207,2017/18,S12000013,"",All,d,All,d,19,"",100,""
208,2018/19,S12000013,"",All,d,All,d,12,"",100,""
209,2006/07,S12000014,"",All,d,All,d,312,"",100,""
210,2007/08,S12000014,"",All,d,All,d,271,"",100,""
211,2008/09,S12000014,"",All,d,All,d,295,"",100,""
212,2009/10,S12000014,"",All,d,All,d,263,"",100,""
213,2010/11,S12000014,"",All,d,All,d,273,"",100,""
214,2011/12,S12000014,"",All,d,All,d,275,"",100,""
215,2012/13,S12000014,"",All,d,All,d,284,"",100,""
216,2013/14,S12000014,"",All,d,All,d,377,"",100,""
217,2014/15,S12000014,"",All,d,All,d,410,"",100,""
218,2015/16,S12000014,"",All,d,All,d,327,"",100,""
219,2016/17,S12000014,"",All,d,All,d,297,"",100,""
220,2017/18,S12000014,"",All,d,All,d,370,"",100,""
221,2018/19,S12000014,"",All,d,All,d,379,"",100,""
222,2006/07,S12000047,"",All,d,All,d,1276,"",100,""
223,2007/08,S12000047,"",All,d,All,d,1878,"",100,""
224,2008/09,S12000047,"",All,d,All,d,946,"",100,""
225,2009/10,S12000047,"",All,d,All,d,921,"",100,""
226,2010/11,S12000047,"",All,d,All,d,1040,"",100,""
227,2011/12,S12000047,"",All,d,All,d,941,"",100,""
228,2012/13,S12000047,"",All,d,All,d,1035,"",100,""
229,2013/14,S12000047,"",All,d,All,d,1130,"",100,""
230,2014/15,S12000047,"",All,d,All,d,1135,"",100,""
231,2015/16,S12000047,"",All,d,All,d,1196,"",100,""
232,2016/17,S12000047,"",All,d,All,d,904,"",100,""
233,2017/18,S12000047,"",All,d,All,d,994,"",100,""
234,2018/19,S12000047,"",All,d,All,d,911,"",100,""
235,2006/07,S12000049,"",All,d,All,d,2155,"",100,""
236,2007/08,S12000049,"",All,d,All,d,1893,"",100,""
237,2008/09,S12000049,"",All,d,All,d,1708,"",100,""
238,2009/10,S12000049,"",All,d,All,d,1357,"",100,""
239,2010/11,S12000049,"",All,d,All,d,1463,"",100,""
240,2011/12,S12000049,"",All,d,All,d,1727,"",100,""
241,2012/13,S12000049,"",All,d,All,d,2117,"",100,""
242,2013/14,S12000049,"",All,d,All,d,,:,,:
243,2014/15,S12000049,"",All,d,All,d,1987,"",100,""
244,2015/16,S12000049,"",All,d,All,d,1618,"",100,""
245,2016/17,S12000049,"",All,d,All,d,1729,"",100,""
246,2017/18,S12000049,"",All,d,All,d,1581,"",100,""
247,2018/19,S12000049,"",All,d,All,d,1317,"",100,""
248,2006/07,S12000017,"",All,d,All,d,661,"",100,""
249,2007/08,S12000017,"",All,d,All,d,377,"",100,""
250,2008/09,S12000017,"",All,d,All,d,217,"",100,""
251,2009/10,S12000017,"",All,d,All,d,258,"",100,""
252,2010/11,S12000017,"",All,d,All,d,243,"",100,""
253,2011/12,S12000017,"",All,d,All,d,282,"",100,""
254,2012/13,S12000017,"",All,d,All,d,277,"",100,""
255,2013/14,S12000017,"",All,d,All,d,203,"",100,""
256,2014/15,S12000017,"",All,d,All,d,262,"",100,""
257,2015/16,S12000017,"",All,d,All,d,181,"",100,""
258,2016/17,S12000017,"",All,d,All,d,204,"",100,""
259,2017/18,S12000017,"",All,d,All,d,168,"",100,""
260,2018/19,S12000017,"",All,d,All,d,177,"",100,""
261,2006/07,S12000018,"",All,d,All,d,319,"",100,""
262,2007/08,S12000018,"",All,d,All,d,278,"",100,""
263,2008/09,S12000018,"",All,d,All,d,325,"",100,""
264,2009/10,S12000018,"",All,d,All,d,246,"",100,""
265,2010/11,S12000018,"",All,d,All,d,232,"",100,""
266,2011/12,S12000018,"",All,d,All,d,245,"",100,""
267,2012/13,S12000018,"",All,d,All,d,219,"",100,""
268,2013/14,S12000018,"",All,d,All,d,207,"",100,""
269,2014/15,S12000018,"",All,d,All,d,192,"",100,""
270,2015/16,S12000018,"",All,d,All,d,177,"",100,""
271,2016/17,S12000018,"",All,d,All,d,157,"",100,""
272,2017/18,S12000018,"",All,d,All,d,161,"",100,""
273,2018/19,S12000018,"",All,d,All,d,167,"",100,""
274,2006/07,S12000050,"",All,d,All,d,338,"",100,""
275,2007/08,S12000050,"",All,d,All,d,448,"",100,""
276,2008/09,S12000050,"",All,d,All,d,397,"",100,""
277,2009/10,S12000050,"",All,d,All,d,653,"",100,""
278,2010/11,S12000050,"",All,d,All,d,816,"",100,""
